n=1, nothing=44827
n=2, nothing=45439
n=3, nothing=94485
n=4, nothing=72198
n=5, nothing=80992
n=6, nothing=8880
n=7, nothing=40961
n=8, nothing=58765
n=9, nothing=46561
n=10, nothing=13418
n=11, nothing=41954
n=12, nothing=46782
n=13, nothing=92730
n=14, nothing=89229
n=15, nothing=25646
n=16, nothing=74288
n=17, nothing=25945
n=18, nothing=39876
n=19, nothing=8498
n=20, nothing=34684
n=21, nothing=62316
n=22, nothing=71331
n=23, nothing=59717
n=24, nothing=76893
n=25, nothing=44091
n=26, nothing=73241
n=27, nothing=19242
n=28, nothing=17476
n=29, nothing=39566
n=30, nothing=81293
n=31, nothing=25857
n=32, nothing=74343
n=33, nothing=39410
n=34, nothing=5505
n=35, nothing=27104
n=36, nothing=54003
n=37, nothing=23501
n=38, nothing=21110
n=39, nothing=88399
n=40, nothing=49740
n=41, nothing=31552
n=42, nothing=39998
n=43, nothing=19755
n=44, nothing=64624
n=45, nothing=37817
n=46, nothing=43427
n=47, nothing=15115
n=48, nothing=44327
n=49, nothing=7715
n=50, nothing=15248
n=51, nothing=61895
n=52, nothing=54759
n=53, nothing=54270
n=54, nothing=51332
n=55, nothing=63481
n=56, nothing=12362
n=57, nothing=94476
n=58, nothing=87810
n=59, nothing=6027
n=60, nothing=47551
n=61, nothing=79498
n=62, nothing=81226
n=63, nothing=4256
n=64, nothing=62734
n=65, nothing=25666
n=66, nothing=14781
n=67, nothing=21412
n=68, nothing=55205
n=69, nothing=65516
n=70, nothing=53535
n=71, nothing=4437
n=72, nothing=43442
n=73, nothing=91308
n=74, nothing=1312
n=75, nothing=36268
n=76, nothing=34289
n=77, nothing=46384
n=78, nothing=18097
n=79, nothing=9401
n=80, nothing=54249
n=81, nothing=29247
n=82, nothing=13115
n=83, nothing=23053
n=84, nothing=3875
n=85, nothing=16044
